,Linear Regression Beta,Ridge Beta,Lasso Beta
Floor Area Sqm,73786.07985684938,73894.37795413643,84259.22436137566
Remaining Lease,15446.695658220931,15449.607069249727,15351.434167250989
No. Of Stations Within 500M,7566.548189995701,7558.321969763588,7876.029583161595
Month Sold_10,112.39373186916418,108.43579771385379,-0.0
Month Sold_11,160.95105350392987,164.48838012686716,0.0
Month Sold_12,245.29219470373937,246.79451244569958,0.0
Month Sold_2,425.57051556582155,417.65138379864817,152.52106939630764
Month Sold_3,820.3033467194109,822.712412418007,555.7930598265906
Month Sold_4,-586.4303956335789,-585.2117461032141,-574.459113763803
Month Sold_5,48.815226956605215,46.131315558108575,-0.0
Month Sold_6,331.25053494614315,328.1385988015727,77.90069002624816
Month Sold_7,-1118.808715624617,-1122.6438243990822,-1115.2470091991686
Month Sold_8,-382.60490178357554,-389.1160408223396,-382.0873348551546
Month Sold_9,422.57810736011817,422.9135930928672,179.12346381007532
Town_BEDOK,-3607.611404256333,-3604.4949919636583,-2045.5282181030354
Town_BISHAN,11607.641028204076,11605.038329156407,12275.906498680291
Town_BUKIT BATOK,-11704.928228801477,-11704.917156284895,-10258.247149553641
Town_BUKIT MERAH,12215.873504200392,12210.615785629212,12524.850921330613
Town_BUKIT PANJANG,-18004.533261326298,-18002.534206254208,-16564.48048180055
Town_BUKIT TIMAH,4352.716338252654,4357.509711646535,4512.295425709618
Town_CENTRAL AREA,2635.1218902078535,2632.474113283955,3120.4014758042954
Town_CHOA CHU KANG,-19281.995892625106,-19280.22397115691,-17816.981670773806
Town_CLEMENTI,2872.91546011664,2872.1807521854425,3597.9332084190837
Town_GEYLANG,647.5747610000753,646.8027302764965,1522.120698625856
Town_HOUGANG,-9817.142254617534,-9810.227110771757,-8234.520895978829
Town_JURONG EAST,-7746.953411460992,-7754.681963095653,-7239.033511035596
Town_JURONG WEST,-25288.750886622864,-25290.61877428083,-23255.184074452958
Town_KALLANG/WHAMPOA,4024.7868347604203,4025.7943024193282,4677.2412817457125
Town_LIM CHU KANG,-1561.3798500616163,-1558.8908464205242,-1171.9059862571055
Town_MARINE PARADE,11729.985894487138,11728.26112449843,12075.770346882611
Town_PASIR RIS,-7810.739558630746,-7807.382234568179,-6521.36684945321
Town_PUNGGOL,-9113.040290507975,-9106.380801386224,-7702.359531259244
Town_QUEENSTOWN,7479.279570527344,7473.26773151153,8387.546990534911
Town_SEMBAWANG,-14977.24207322736,-14970.0213646019,-13708.990318254208
Town_SENGKANG,-15524.836450601675,-15520.24073942466,-13739.730991268978
Town_SERANGOON,-1619.8052795530343,-1624.6541155436896,-484.70616318350346
Town_TAMPINES,-6955.386399830091,-6959.126840087553,-4939.183394345291
Town_TOA PAYOH,5084.664174185885,5087.895819662665,6037.771771397471
Town_WOODLANDS,-30081.45626120473,-30076.289009210737,-28275.745238645537
Town_YISHUN,-17603.79884195196,-17600.248883320488,-15827.968161345567
Flat Type_2 ROOM,6997.644418601357,6874.119469994467,-4743.035717114012
Flat Type_3 ROOM,55326.015402005214,54745.43689106189,-0.0
Flat Type_4 ROOM,91072.67066916195,90420.40922820254,29270.223229416504
Flat Type_5 ROOM,115254.69814492142,114664.00759620218,58780.884066981256
Flat Type_EXECUTIVE,74656.25026440233,74238.13882353187,37226.807477772345
Flat Type_MULTI-GENERATION,-3788695302276756.0,4872.186319777329,6069.966144104297
Flat Model_ADJOINED FLAT,-10795.634662499046,-10696.395069149512,-9950.326944122997
Flat Model_APARTMENT,11722.958811127635,12115.939578885143,13728.270344931576
Flat Model_DBSS,4085.05426684724,4152.164131491244,4758.282195963007
Flat Model_IMPROVED,-15784.716995290913,-14894.660243975908,-6571.203570548084
Flat Model_IMPROVED MAISONETTE,610.6375591048056,638.0154199066912,636.8958534143267
Flat Model_MAISONETTE,15066.419607673717,15426.435664882012,16881.431028295938
Flat Model_MODEL A,204.25293857724137,1091.924736484755,7189.525365724136
Flat Model_MODEL A MAISONETTE,1447.8182129085126,1540.8099204426182,1983.0457318548474
Flat Model_MODEL A2,1401.1061868410598,1611.9101467063433,3294.939212304704
Flat Model_MULTI GENERATION,3788695302286492.0,4872.186319755425,212.4744697654019
Flat Model_NEW GENERATION,-8819.006745218405,-7987.294023902227,-0.0
Flat Model_PREMIUM APARTMENT,-1412.5620840165811,-1022.4965360642813,1817.7422784176888
Flat Model_PREMIUM APARTMENT LOFT,228.57067325812727,231.17363388728168,105.49859103793813
Flat Model_PREMIUM MAISONETTE,1631.1030477850538,1657.3161242128099,1551.2423659965464
Flat Model_SIMPLIFIED,-9588.628215454197,-9075.589509953967,-3789.8805546410085
Flat Model_STANDARD,-10883.383174087867,-10441.081837688233,-5695.00258992375
Flat Model_TERRACE,7534.758045786606,7590.3185226792675,7421.235956319073
Flat Model_TYPE S1,3802.0023088938588,3838.8764256006175,4069.248186685246
Flat Model_TYPE S2,2541.333779305009,2565.50347861994,2736.8481042151466
Storey Range_04 TO 06,4409.296062480804,4409.019666392296,3773.1350192178506
Storey Range_07 TO 09,7606.744812023168,7603.51507013776,6975.401213367545
Storey Range_10 TO 12,8982.221361960663,8981.138355229035,8427.425063772334
Storey Range_13 TO 15,8497.343221015653,8498.734098891257,8264.073442042227
Storey Range_16 TO 18,9165.617166452535,9163.36074223556,9077.484986980127
Storey Range_19 TO 21,9741.65744535942,9737.637499939641,9691.394041769945
Storey Range_22 TO 24,9474.955337300613,9471.967424694536,9432.048693160757
Storey Range_25 TO 27,7086.792278854145,7091.035775871124,7087.888029371299
Storey Range_28 TO 30,5656.742313181379,5654.702476033094,5689.325529919185
Storey Range_31 TO 33,3003.66068539603,3002.6461060364477,2935.879668198075
Storey Range_34 TO 36,3309.346882572404,3310.975895355883,3240.8645384666315
Storey Range_37 TO 39,3234.5844780168673,3234.7312314540372,3155.049272779257
Storey Range_40 TO 42,2337.078989369509,2337.9623732798586,2237.7023399150553
Storey Range_43 TO 45,729.0506213225681,729.231988659605,591.3446412886971
Storey Range_46 TO 48,870.1245762963067,868.0842092099017,753.9697633126934
Storey Range_49 TO 51,646.8093482753643,648.9962550466436,531.3335422335382
Distance To Nearest Station_201m - 300m,-673.8679104481089,-675.4905400607624,14.936105297316827
Distance To Nearest Station_301m - 400m,-3145.8934650351853,-3146.4415018258987,-2101.6495739171196
Distance To Nearest Station_401m - 500m,-4933.303798755963,-4932.845525915208,-3783.666563067036
Distance To Nearest Station_<= 100m,274.3927106060487,270.33101468418937,408.99604045886207
Distance To Nearest Station_> 500m,-7366.248820569562,-7371.426598893897,-5738.938158264584
Primary Distance Categorised_201m - 300m,257.97780748371997,294.0200602667842,0.0
Primary Distance Categorised_301 - 400m,530.1020886412925,567.9055730016073,317.89947192700913
Primary Distance Categorised_401m - 500m,111.41825828145011,142.13316437316163,0.0
Primary Distance Categorised_<= 100m,-12.316895276484502,-2.5358007657775365,-0.0
Primary Distance Categorised_> 500m,-3.1245845070014052e+16,-5816.399009214846,-0.0
Secondary Distance Categorised_201m - 300m,517.3669018842556,517.7035277161967,561.2921483384007
Secondary Distance Categorised_301 - 400m,-242.07049980319107,-244.9272295522604,-0.0
Secondary Distance Categorised_401m - 500m,-32.99860295411645,-35.64829503765902,0.0
Secondary Distance Categorised_<= 100m,-104.62532139401856,-105.35917520465668,-0.0
Secondary Distance Categorised_> 500m,-1563.94923605761,-1566.7398721987602,-1185.295685681137
Additional Primary Distance Categorised_1km - 1.5km,3890.559551725856,3889.736049258947,552.3277907832311
Additional Primary Distance Categorised_501m - 1km,12869.427731706128,12856.427587669683,3528.9382068969044
Additional Primary Distance Categorised_<= 500m,-3.124584507000234e+16,5816.3990081391685,2458.8133276015474
Additional Primary Distance Categorised_> 2km,1224.3862345613659,1221.9238038171902,372.38330562147627
